date,bases,open_access_bases,bytes,open_access_bytes
"09/18/2016",5901815886205789,3624102262328595,3572433571827440,2308746319984563
"09/19/2016",5906264704463629,3627711791536005,3575079900861733,2310917414926945
"09/20/2016",5913848339758276,3629832057200044,3579468331229823,2312396561850828
"09/21/2016",5920146072704687,3633794730614935,3582288728782462,2313974690679627
"09/22/2016",5927511388376062,3641046930797611,3585235770725114,2316863313299345
"09/23/2016",5931693287154710,3643206602939101,3587252327629840,2317875185982165
"09/24/2016",5932083627857648,3643596943642039,3587447068231434,2318069926583759
"09/25/2016",5932574483385458,3644087799169849,3587703144740155,2318326003092480
"09/26/2016",5937577365486503,3649090681270894,3590618017884551,2321240876236876
"09/27/2016",5949465506766515,3658924012563086,3596340736817859,2326315502502663
"09/28/2016",5980064540467135,3673939448713454,3611242158909524,2334126582055945
"09/29/2016",5984060614840159,3677935523086478,3613204355992065,2336088779138486
"09/30/2016",6010491235559408,3704366143805727,3623388681221503,2346273104367924
"10/01/2016",6027772186661034,3714443506666595,3631226622838971,2350421744961268
"10/02/2016",6032397742533705,3714665395455142,3633595494584104,2350560344268978
"10/03/2016",6041856258993631,3718666864524214,3638713149578980,2352918130468601
"10/04/2016",6047872486632327,3723267924689530,3642149403501655,2355681188251512
"10/05/2016",6059405179776019,3729184307989997,3648405573271272,2359333542558746
"10/06/2016",6086152071855453,3742381607519616,3663301571609076,2367414442632354
"10/07/2016",6090736760891191,3745652703499754,3665900277243354,2369424111614508
"10/08/2016",6096875843638098,3751428320882992,3669051811304581,2372375508918518
"10/09/2016",6106539836023693,3753711752898296,3674031221707730,2373578364214802
"10/10/2016",6108864354609442,3755899877896127,3675091671409809,2374563989834497
"10/11/2016",6115636424821376,3760329832282263,3678752698010517,2377077434003938
"10/12/2016",6199197973541545,3765163373664109,3705181251232342,2379514661161779
"10/13/2016",6355143421433391,3775214706914194,3758046703376679,2387111650695703
"10/14/2016",6822583210265430,3776231713000509,3895540558882291,2387750328570702
"10/15/2016",6825057051764273,3777911213420252,3896973073384877,2388814500762329
"10/16/2016",6827597309285674,3778618781129694,3898234968203789,2389234697381093
"10/17/2016",7467371375892830,3780020419540853,4083927430591561,2390047596008407
"10/18/2016",8200252039374707,3784267765898694,4296125800935286,2393210339326895
"10/19/2016",8203939143577500,3787281959189093,4298088419468452,2394864094663999
"10/20/2016",8211122641663082,3789538574558174,4301532688027903,2396194555101046
"10/21/2016",8371652791493276,3793903443712924,4350160978274271,2399121680727770
"10/22/2016",8376118377297445,3798369029517093,4353004492049961,2401965194503460
"10/23/2016",8376800272391019,3799050924610667,4353331616834256,2402292319287755
"10/24/2016",8385351745432722,3801448830016332,4357663279189153,2403708651016289
"10/25/2016",8392924833144283,3808944214521011,4360699678991877,2406708448682772
"10/26/2016",8484210401291999,3810888214313500,4401919852435534,2407822082349951
"10/27/2016",8508375755559182,3821079163893307,4412266713672781,2413383459230073
"10/28/2016",8515171711802721,3825142102316806,4416315227640163,2415980568698799
"10/29/2016",8521834909219514,3831805299733599,4420920189131559,2420585530190195
"10/30/2016",8522447633499059,3832418024013144,4421281809429269,2420947150487905
"10/31/2016",8533022234821924,3838262606385532,4427225594008750,2424432561334067
